timestep,A0A1,A0B0,A1A0,A1A2,A1B1,A2A1,A2A3,A2B2,A3A2,A3B3,B0A0,B0B1,B0C0,B1A1,B1B0,B1B2,B1C1,B2A2,B2B1,B2B3,B2C2,B3A3,B3B2,B3C3,C0B0,C0C1,C0D0,C1B1,C1C0,C1C2,C1D1,C2B2,C2C1,C2C3,C2D2,C3B3,C3C2,C3D3,D0C0,D0D1,D1C1,D1D0,D1D2,D2C2,D2D1,D2D3,D3C3,D3D2
603,2,0,0,2,9,0,1,0,0,0,1,1,0,4,1,0,2,2,4,1,2,0,4,2,0,4,0,4,4,1,1,3,0,3,0,0,5,0,0,1,5,0,0,2,0,0,0,0
604,2,0,0,2,8,1,1,0,0,0,1,1,0,3,0,0,1,0,4,1,2,0,4,2,0,4,0,3,3,2,1,3,0,3,0,0,5,0,0,2,5,0,0,1,0,0,0,0
605,2,0,0,3,8,1,2,0,0,0,2,1,0,3,0,1,2,0,5,0,1,0,4,3,0,4,0,3,3,2,2,2,0,4,0,0,5,0,0,2,5,0,0,1,0,0,0,0
606,2,0,0,3,8,2,2,0,0,0,1,1,0,3,0,1,2,0,5,0,1,0,4,3,0,4,0,3,3,2,2,2,0,3,0,1,5,0,0,2,5,0,0,1,0,0,0,0
607,2,0,0,3,7,2,2,0,0,0,1,1,0,3,0,2,2,0,5,0,0,0,4,4,0,4,0,3,3,2,2,2,0,3,0,1,4,0,0,2,5,0,0,1,0,0,0,0
608,2,0,0,2,7,2,2,0,0,0,1,1,0,3,0,2,2,0,6,0,0,0,4,4,0,4,0,3,2,2,2,1,1,4,0,1,4,0,0,2,5,0,0,0,0,0,0,0
609,3,0,0,3,7,2,2,0,0,0,1,1,0,3,0,2,2,0,6,0,0,0,4,4,0,4,0,2,2,2,2,1,1,4,0,2,5,0,0,2,5,0,0,0,0,0,0,0
610,3,0,0,2,7,2,2,0,0,0,1,1,0,2,0,2,2,1,6,0,0,0,4,4,0,4,0,2,1,2,2,1,2,4,0,2,6,0,0,1,5,0,0,0,0,0,0,0
611,3,0,0,2,6,1,2,0,0,0,1,1,0,2,0,2,3,1,6,0,0,0,4,4,0,4,0,2,1,2,2,1,2,5,0,2,6,0,0,1,5,0,0,0,0,0,0,0
612,2,0,1,3,6,0,2,0,0,0,0,1,0,2,0,2,3,1,6,0,0,0,4,3,0,5,0,2,1,2,3,0,2,5,0,2,5,0,0,1,5,0,0,0,0,0,0,0
613,2,0,1,2,5,0,1,0,0,0,0,1,0,2,0,1,4,1,6,0,0,0,4,3,0,5,0,3,1,2,3,0,2,5,0,2,6,0,0,0,6,0,0,0,0,0,0,0
614,2,0,2,2,6,0,1,0,0,1,0,1,0,1,0,0,4,2,6,0,0,0,4,3,0,5,0,4,1,2,3,0,2,6,0,2,7,0,0,0,6,0,0,0,0,0,0,0
615,2,0,2,3,5,0,0,0,0,1,0,1,0,1,0,0,4,2,6,0,0,0,4,3,0,5,0,4,0,2,2,0,2,6,0,1,7,0,0,0,6,0,0,0,0,0,0,0
616,1,0,2,3,5,0,0,0,0,2,0,1,0,1,0,0,4,2,6,0,0,0,4,1,0,6,0,4,0,2,2,0,2,5,0,1,7,0,0,0,7,0,0,0,0,0,0,0
617,1,0,2,3,5,0,0,0,0,2,0,1,0,1,0,0,5,2,6,0,0,0,4,1,0,6,0,4,0,2,3,0,2,5,0,2,8,0,0,0,7,0,0,0,0,0,0,0
618,1,0,2,2,4,0,0,0,0,2,0,1,0,1,0,0,4,1,6,0,0,0,5,0,0,7,0,4,0,2,3,0,2,5,0,1,8,1,0,0,7,0,0,0,0,0,0,0
619,0,0,1,2,4,0,0,1,0,2,0,1,0,1,1,0,4,1,6,0,0,0,5,0,0,7,0,4,0,2,2,0,2,5,0,2,8,1,0,0,7,0,0,0,0,0,0,0
620,0,0,1,2,4,0,0,1,0,2,0,1,0,1,1,0,5,1,6,0,0,0,5,0,0,8,0,4,0,2,2,0,2,5,0,2,8,2,0,0,6,0,1,0,0,0,0,0
621,0,1,0,2,3,0,0,1,0,2,0,1,1,1,1,0,6,1,6,0,0,0,6,0,0,8,0,3,1,2,2,0,2,6,0,2,8,2,0,0,5,0,1,0,0,0,0,0
622,0,1,0,2,2,0,0,1,0,2,0,1,1,0,1,1,6,1,6,0,0,0,6,0,0,8,0,4,1,2,1,0,2,6,0,2,8,2,0,0,5,0,2,0,0,0,0,0
623,0,2,0,1,2,0,0,1,0,2,0,1,2,0,1,1,7,0,6,0,0,0,6,0,0,8,0,3,1,2,1,0,2,6,0,2,8,2,0,0,5,0,2,0,0,0,0,0
624,0,2,0,2,2,0,0,1,0,1,0,1,2,0,1,1,8,0,6,0,0,0,6,0,0,8,0,3,2,2,1,0,2,5,0,3,8,2,0,0,4,0,3,0,0,0,0,0
625,0,2,0,2,1,0,0,1,0,2,0,1,2,0,1,2,7,0,6,0,0,0,6,0,0,9,0,3,2,2,1,0,2,5,0,2,9,2,0,0,4,0,3,0,0,0,0,0
626,0,2,0,2,1,0,0,1,0,2,0,1,2,0,1,2,7,0,6,0,0,0,6,0,0,9,0,3,2,3,1,0,2,5,0,2,9,2,0,0,2,0,3,0,0,0,0,0
627,0,2,0,2,1,0,0,0,1,2,0,1,2,0,1,2,8,0,6,0,0,0,6,0,0,9,0,3,3,3,0,0,2,4,0,2,9,2,0,0,2,0,2,0,0,0,0,0
628,0,1,0,2,0,0,0,0,2,2,0,1,2,0,0,2,8,0,6,0,0,0,7,0,0,10,0,3,3,3,0,0,2,4,0,1,9,1,0,0,2,0,2,0,0,0,0,1
629,0,1,0,2,0,0,0,0,2,2,0,1,2,0,1,2,8,0,6,0,1,0,7,1,0,10,0,3,4,3,0,0,2,3,0,2,9,1,0,0,2,0,1,0,0,0,0,1
630,0,0,0,1,0,0,0,0,2,2,1,1,1,0,1,2,8,0,6,0,1,0,7,1,0,10,0,3,4,3,0,0,2,3,0,2,9,0,0,0,2,0,2,0,0,0,0,1
631,0,0,0,1,0,0,0,1,2,1,1,0,1,0,2,1,8,0,4,0,1,0,7,1,0,8,0,3,4,3,0,0,1,2,0,3,7,0,0,0,2,0,2,0,0,0,1,2
632,0,0,0,0,0,0,0,1,2,1,1,0,1,0,2,1,8,0,4,0,1,0,8,2,0,8,0,3,4,3,0,0,1,2,0,2,7,0,0,0,1,0,1,0,0,0,2,2
633,0,0,0,0,0,0,0,1,2,1,1,0,0,1,2,0,9,0,4,1,1,0,8,2,0,9,0,3,4,3,1,0,1,2,0,3,7,0,0,0,1,0,1,0,0,0,2,2
634,0,0,0,0,0,0,0,1,2,0,1,0,0,1,2,0,10,0,2,1,1,0,8,2,0,7,0,3,5,1,1,0,0,1,0,3,6,0,0,0,1,0,1,0,0,1,2,2
635,0,0,0,0,0,0,0,1,1,1,1,0,0,2,2,0,10,0,2,2,1,0,9,2,0,7,0,3,5,2,1,0,2,2,0,3,6,0,0,0,1,0,1,0,0,1,2,2
636,0,0,0,0,0,0,0,1,1,2,1,0,0,4,2,0,10,0,2,2,1,0,9,2,0,7,0,3,4,2,2,0,2,3,0,3,5,0,0,0,1,0,1,0,0,1,2,2
637,0,0,0,0,0,0,0,2,1,2,1,0,0,4,2,0,11,0,1,2,1,0,9,2,0,6,0,3,5,3,2,0,4,4,0,2,4,0,0,0,1,0,1,0,0,1,2,2
638,0,0,0,0,0,0,0,2,2,2,1,0,0,4,1,0,11,0,1,2,1,0,8,2,0,6,0,3,5,3,2,0,4,4,0,2,4,0,0,0,1,0,1,0,0,1,2,1
639,0,0,0,0,0,0,0,2,2,2,0,0,0,4,1,0,12,0,0,2,2,0,8,1,0,6,0,3,5,3,2,0,4,4,0,2,2,0,0,0,1,0,0,0,0,1,2,1
640,0,0,0,0,0,0,0,2,2,2,1,0,0,4,1,0,12,0,0,2,2,0,6,1,0,6,0,3,4,2,2,1,4,4,0,1,3,0,0,0,1,0,0,0,1,1,1,1
641,0,0,0,0,0,0,0,3,2,2,1,0,0,4,0,0,12,1,0,2,3,0,6,1,0,5,1,3,4,2,2,1,4,4,0,1,2,0,0,0,1,0,0,0,1,2,2,0
642,0,0,0,0,0,0,0,3,2,1,2,0,0,3,0,0,13,1,0,2,3,0,6,0,0,5,1,4,4,2,1,1,3,5,0,0,2,0,0,0,1,0,0,0,1,1,1,0
643,0,0,0,0,0,0,0,3,2,1,2,0,0,3,0,0,13,1,1,2,3,0,6,0,0,5,2,4,2,2,1,2,2,6,0,0,4,0,0,0,1,1,0,0,2,1,1,0
644,0,0,1,0,0,0,0,3,2,1,2,0,0,3,0,0,13,1,1,2,3,0,6,0,0,5,2,6,2,1,1,2,2,6,0,0,3,0,0,0,1,1,0,0,2,1,2,0
645,0,0,1,0,0,0,0,3,1,1,2,0,0,2,0,0,13,2,2,2,3,0,5,0,1,4,3,6,2,2,1,2,1,6,0,0,4,0,0,0,1,2,0,0,2,1,2,0
646,0,0,1,0,1,0,0,3,1,0,2,0,0,2,0,0,13,2,2,2,3,0,6,0,1,4,3,6,0,2,1,2,2,6,0,0,4,1,0,0,1,2,0,0,2,1,3,0
647,0,0,1,0,1,0,0,4,0,0,2,0,0,2,0,0,13,2,2,1,3,0,7,0,1,3,3,7,0,3,1,2,2,6,0,0,4,1,0,0,1,2,0,0,2,1,3,0
648,0,0,1,0,1,0,0,4,0,0,2,0,0,1,0,0,13,2,2,1,4,0,7,0,2,3,4,7,0,3,1,1,2,6,0,0,3,1,0,0,1,3,0,0,2,1,3,0
649,0,0,1,0,2,0,0,5,0,0,1,0,0,1,0,0,13,1,2,1,4,0,7,0,2,2,3,7,0,4,1,1,2,6,0,0,3,1,0,0,1,3,0,0,1,1,3,0
650,0,0,1,0,2,0,0,5,0,0,1,0,0,1,0,0,13,1,1,0,4,0,5,0,2,2,3,7,0,4,1,1,2,6,0,0,3,1,0,0,1,3,0,0,1,1,2,0
651,0,0,1,0,2,0,0,5,2,0,0,0,0,0,0,0,13,1,1,0,5,0,5,0,2,1,3,7,0,4,1,0,2,5,1,0,2,1,0,1,1,4,0,0,0,0,2,0
652,0,0,0,0,2,1,0,5,2,0,0,0,0,0,0,0,13,1,3,0,5,0,5,0,2,1,2,7,0,5,0,0,2,5,1,0,2,1,0,1,1,4,0,0,0,0,2,0
653,0,1,1,0,2,1,0,5,2,0,0,0,0,0,0,0,14,1,2,0,5,0,5,0,2,1,2,7,0,5,0,0,3,5,1,0,2,2,1,2,1,5,0,0,0,1,1,0
654,0,1,1,0,2,1,0,5,2,0,0,0,0,0,0,0,14,0,3,0,5,0,5,0,1,0,1,7,0,5,0,0,2,5,1,0,2,2,1,2,1,6,0,0,0,2,2,0
655,0,1,1,0,1,1,0,5,2,0,0,0,0,0,0,0,14,0,3,0,5,0,4,0,1,0,1,9,0,5,0,0,1,5,1,0,2,1,1,2,1,6,0,0,0,2,1,0
656,0,1,1,0,1,2,0,5,2,0,0,1,0,0,0,0,15,0,4,0,5,0,4,0,1,0,1,9,0,5,1,0,1,5,1,0,1,1,1,3,1,6,0,0,0,2,1,0
657,0,1,1,1,0,2,0,5,2,0,0,1,0,0,0,0,15,0,5,0,5,0,4,0,0,0,0,10,0,5,1,0,1,5,2,0,2,1,2,3,1,6,0,0,0,2,1,0
658,0,1,1,2,0,2,0,5,2,0,0,2,0,0,0,0,15,0,4,0,5,0,3,0,0,0,0,10,0,5,2,0,1,5,1,0,2,1,2,3,1,6,0,0,0,2,1,0
659,0,1,2,2,0,1,0,5,2,0,0,2,0,0,0,0,15,0,5,0,5,0,3,0,0,0,0,10,0,5,2,0,2,4,1,0,2,1,2,3,1,5,0,0,0,2,1,0
660,0,1,2,2,0,1,0,5,1,0,0,2,0,0,1,0,15,0,4,0,4,0,2,0,0,0,0,10,0,5,2,0,2,4,1,0,2,1,3,4,1,5,0,0,0,2,1,0
661,0,0,3,2,0,1,0,5,0,0,0,2,0,0,1,1,15,0,4,0,4,0,2,0,0,0,0,11,0,5,2,0,1,4,1,0,2,1,3,3,1,5,0,0,0,1,1,0
662,0,0,2,2,0,2,0,5,0,0,0,2,0,0,1,1,15,0,4,0,4,0,2,0,0,0,0,11,0,5,2,0,2,3,1,0,2,0,2,4,1,4,0,0,0,1,1,0
663,0,1,2,2,0,3,0,5,0,0,0,2,0,0,1,1,15,0,4,0,4,0,1,0,0,0,0,12,0,5,1,0,2,3,1,0,2,0,2,4,1,3,0,0,0,1,2,1
664,0,1,2,2,0,2,0,5,0,0,0,2,0,0,1,1,15,0,3,0,4,0,1,0,0,0,0,12,1,5,1,0,2,3,1,0,2,0,4,4,1,3,0,0,0,0,1,1
665,0,1,2,1,0,2,0,5,0,0,0,1,0,0,1,2,15,0,2,1,4,0,1,0,0,0,0,12,1,5,1,0,2,2,0,1,2,0,4,3,1,2,0,0,0,0,1,2
666,0,1,2,1,0,2,0,6,0,0,0,1,0,0,1,2,15,0,1,1,3,0,1,0,0,0,0,12,1,5,0,0,2,2,0,1,2,0,3,3,1,2,0,0,0,0,2,2
667,0,1,2,1,0,2,0,6,0,0,0,0,0,0,1,2,15,0,0,1,3,0,0,0,1,0,0,12,1,5,0,0,2,2,0,1,2,2,4,2,1,1,0,0,0,0,2,2
668,0,1,1,0,0,2,0,6,0,0,1,0,0,0,2,2,15,0,0,1,3,0,0,0,1,0,0,12,1,5,0,0,2,1,0,2,2,2,5,2,1,1,0,0,0,0,2,2
669,0,2,1,0,0,2,0,7,0,0,1,0,0,0,3,2,15,0,0,2,3,0,0,0,1,1,0,12,2,5,0,0,1,1,0,2,1,2,5,2,1,1,0,0,0,0,2,2
670,0,2,0,0,0,1,0,7,0,0,1,0,0,0,3,1,15,0,0,2,3,0,0,0,1,1,0,12,2,5,0,0,1,1,0,2,2,2,4,1,1,1,0,0,0,0,2,2
671,0,2,0,0,0,1,0,7,0,0,1,0,0,0,3,1,15,0,0,2,3,1,0,0,1,1,0,12,3,5,0,0,2,1,0,2,2,2,4,1,1,0,0,0,0,0,1,2
672,0,2,1,0,0,1,0,7,0,0,1,0,0,0,3,1,15,0,0,2,3,1,0,0,2,1,0,12,3,5,0,0,2,0,0,2,2,2,5,0,2,0,0,0,0,0,1,1
673,0,2,1,0,0,0,0,7,0,0,1,0,0,0,3,1,15,0,0,2,3,1,0,0,2,2,0,12,2,5,0,0,2,0,0,2,3,2,4,0,2,0,0,0,0,0,1,1
674,0,2,1,0,0,0,0,7,0,0,1,0,0,0,3,0,15,0,0,2,3,1,0,0,2,2,0,12,2,5,0,0,2,0,0,2,4,2,3,0,2,0,0,1,0,0,0,1
675,0,2,2,0,0,0,0,7,0,0,0,0,0,0,2,0,15,0,0,2,3,2,0,0,1,3,0,12,2,6,0,0,2,0,0,2,4,1,3,0,3,0,0,1,0,0,0,0
676,0,2,2,0,0,0,0,5,0,0,1,1,0,0,1,0,13,0,0,2,2,3,0,0,1,3,0,10,2,7,0,1,2,0,0,2,4,0,2,0,2,0,0,2,0,0,0,1
677,0,1,2,0,0,0,0,5,0,0,1,1,0,0,0,0,13,0,0,2,2,3,0,0,1,3,0,10,2,7,0,1,2,0,0,3,4,0,2,0,2,0,0,2,0,0,0,2
678,0,1,2,0,0,0,0,5,0,0,1,1,0,0,0,1,13,0,1,2,2,4,0,0,1,3,0,10,2,7,0,1,2,0,0,3,4,0,2,0,2,0,0,2,0,0,0,2
679,0,1,2,0,0,0,0,4,0,1,1,1,0,0,0,1,13,0,1,2,1,4,0,0,1,3,0,8,1,7,0,1,2,0,0,4,4,0,1,0,2,0,0,2,0,0,0,3
680,0,1,1,0,0,0,0,4,0,1,1,2,0,1,0,1,12,0,1,2,2,3,0,0,0,5,0,9,1,7,1,1,2,0,1,4,4,0,1,0,1,0,0,2,0,0,0,4
681,0,0,1,0,0,0,0,4,0,2,1,2,0,1,0,2,12,0,2,2,2,3,0,0,0,5,0,8,1,7,1,1,2,0,1,3,4,0,1,0,1,0,0,2,0,0,0,4
682,0,0,1,0,0,0,0,3,1,2,1,3,0,2,0,2,11,0,2,2,1,3,0,0,0,5,0,8,1,7,2,2,2,0,2,3,4,0,1,0,1,0,0,1,0,0,0,4
683,0,0,1,0,0,0,0,3,1,2,1,4,0,2,0,2,11,0,3,2,1,2,0,0,0,5,0,8,0,7,2,2,2,0,2,3,4,0,0,0,1,0,0,1,0,0,0,4
684,0,0,1,0,0,0,0,2,1,2,1,4,0,4,0,2,10,0,3,2,1,2,1,0,0,5,0,6,0,6,2,3,2,0,3,2,4,0,0,0,0,0,0,0,0,0,0,4
685,1,0,0,0,0,0,0,2,2,2,0,4,0,4,0,2,10,0,4,2,1,2,1,0,0,6,0,6,0,6,2,2,2,0,3,2,4,0,0,0,0,0,0,0,0,0,0,3
686,1,0,0,0,0,0,0,1,3,2,0,4,0,6,0,2,9,0,4,2,1,1,1,0,0,6,1,5,0,6,2,3,2,0,3,2,4,0,0,0,0,0,0,0,0,0,0,2
687,2,0,0,0,0,0,0,1,4,1,0,4,0,6,0,2,9,0,4,3,1,0,2,0,0,6,1,5,0,6,2,3,2,0,3,1,4,0,0,0,0,0,0,0,1,0,0,1
688,2,0,0,0,0,0,0,1,4,1,0,4,0,7,0,2,8,0,5,3,0,0,2,0,0,5,1,5,1,6,1,4,2,0,2,1,4,0,0,0,0,0,0,0,2,0,0,1
689,2,0,0,0,0,0,0,0,5,1,0,5,0,7,0,2,7,0,5,3,0,0,3,0,0,5,1,4,2,5,1,4,2,0,2,0,4,0,0,0,0,0,0,1,2,0,0,1
690,2,0,1,0,0,0,0,0,6,1,0,5,0,6,0,2,7,0,6,3,0,0,4,0,0,5,1,4,2,6,1,3,2,0,3,0,4,0,0,0,0,1,0,1,2,1,0,0
691,2,0,1,0,0,0,0,0,5,1,0,6,0,5,0,2,7,0,6,2,0,0,3,0,0,5,1,2,2,6,0,3,2,1,2,0,4,0,0,0,0,1,0,1,2,1,0,0
692,2,0,2,0,0,0,0,0,5,0,0,6,0,5,1,3,6,1,6,2,0,0,4,0,0,5,1,2,2,7,0,2,2,2,2,0,4,0,0,0,0,2,0,2,2,1,0,0
693,2,0,2,0,0,1,0,0,5,0,0,6,0,3,1,3,6,1,6,2,0,0,5,0,0,5,1,2,2,7,0,2,3,2,1,0,4,0,0,0,0,2,0,2,2,2,0,0
694,1,0,2,0,0,1,0,0,3,0,0,6,0,3,2,3,5,2,6,2,0,0,4,0,0,5,0,1,2,7,0,1,4,2,1,0,4,0,0,0,0,2,0,2,1,2,0,0
695,1,0,2,0,1,1,0,0,3,0,0,6,0,2,2,3,4,2,6,1,0,0,4,0,0,5,0,0,2,8,0,1,4,2,1,0,4,1,0,0,0,2,0,2,0,3,0,0
696,0,0,2,1,1,2,0,0,2,0,0,6,0,2,2,3,4,3,6,1,0,1,4,0,0,5,0,0,2,8,0,0,4,2,1,0,4,1,0,0,0,3,0,1,0,3,0,0
697,0,0,2,1,1,2,0,0,2,0,0,6,0,2,2,4,3,3,6,0,0,1,4,0,0,5,0,0,1,9,0,0,4,2,1,0,4,2,0,0,0,4,0,1,0,3,0,0
698,0,0,1,2,1,3,0,0,0,0,0,6,0,1,2,4,3,4,6,0,0,2,4,1,0,5,0,0,1,9,0,1,4,2,1,0,4,2,0,0,0,4,0,1,0,2,0,0
699,0,1,1,2,1,3,0,0,0,0,0,6,0,1,2,4,2,4,6,0,1,2,4,1,1,5,0,0,1,9,0,1,4,2,0,0,4,2,1,0,0,3,0,0,0,2,0,0
700,0,1,0,2,1,4,0,0,0,0,0,6,0,1,1,4,2,3,6,0,1,2,4,1,1,5,0,0,0,10,0,1,4,2,0,0,4,2,1,0,0,3,0,0,0,1,0,0
701,0,1,0,2,1,4,0,1,0,0,0,6,0,1,1,4,2,3,6,0,2,2,4,1,2,5,0,0,0,9,0,2,4,1,0,0,4,2,1,0,0,2,0,0,0,2,0,0
702,0,2,0,2,1,3,0,1,0,0,0,6,0,1,1,4,1,3,6,0,2,2,4,1,2,5,0,0,0,10,0,3,4,1,0,0,4,2,2,0,0,2,0,0,0,2,1,0
703,0,2,0,2,1,3,0,1,0,0,0,6,0,1,0,4,1,2,6,0,2,1,4,1,2,5,0,0,0,10,0,3,4,1,0,0,4,2,2,1,0,2,0,0,0,1,1,0
704,0,2,0,1,1,3,0,1,0,0,0,6,0,1,0,4,0,2,6,0,2,1,4,1,2,5,0,0,0,10,0,4,4,0,0,1,4,1,2,2,0,2,0,0,0,1,1,0
705,0,2,0,1,1,2,0,1,0,0,0,6,0,1,0,4,0,2,6,0,2,1,4,1,2,5,0,0,0,11,0,4,4,0,0,1,4,1,3,2,0,1,0,0,0,1,2,1
706,0,2,0,1,1,3,0,2,0,0,0,6,0,1,0,4,0,1,6,0,2,0,4,1,2,5,0,0,0,11,0,3,4,0,0,2,4,1,3,2,0,0,0,0,0,1,2,1
707,0,1,0,1,1,3,0,2,0,0,0,6,0,1,0,4,0,1,6,0,1,0,4,0,2,5,0,0,0,12,0,4,4,0,0,2,4,1,4,2,0,0,0,0,0,1,2,1
708,0,1,0,1,1,4,0,2,0,0,0,6,0,1,0,4,0,1,7,0,1,0,4,0,1,5,0,0,0,12,0,3,4,0,0,2,4,0,3,2,0,0,0,0,0,1,2,1
709,0,1,0,1,1,3,0,3,0,0,0,7,0,2,0,4,0,0,7,0,1,0,4,0,1,5,0,0,0,12,0,4,5,0,0,3,4,0,3,2,0,0,0,0,0,1,1,2
710,0,0,0,1,1,3,0,4,0,0,0,7,0,3,0,4,0,0,7,0,1,0,4,0,0,5,0,0,0,12,0,4,5,0,0,3,4,0,2,2,0,0,0,0,0,0,1,2
711,0,0,0,1,2,3,0,5,0,0,0,7,0,3,0,4,0,0,8,0,0,0,4,0,0,5,0,0,0,12,0,4,5,2,0,4,4,0,2,1,0,0,0,0,0,0,1,2
712,0,0,0,1,2,2,0,5,0,0,0,8,0,3,0,4,0,0,8,0,0,0,4,0,0,5,0,0,0,12,0,3,6,2,0,4,4,0,2,1,0,0,0,0,0,0,1,2
713,0,0,0,2,1,2,0,5,0,0,0,8,0,2,0,4,0,0,8,0,0,0,4,0,0,5,0,0,0,12,0,3,6,2,0,4,4,0,2,1,0,0,0,0,0,1,0,2
714,0,0,0,2,1,2,0,5,0,0,0,8,0,2,0,4,0,0,8,0,1,0,4,0,0,5,0,0,0,12,0,3,6,2,0,3,4,0,1,0,1,0,0,0,0,1,0,1
715,0,0,0,2,2,1,0,4,0,0,0,8,0,2,0,4,1,0,8,0,1,0,4,1,0,5,0,0,0,12,0,3,6,2,0,3,4,0,1,0,1,0,0,1,0,2,0,1
716,0,0,0,1,2,1,0,4,0,0,0,8,0,2,0,4,1,0,8,0,1,1,4,2,1,5,0,0,0,12,0,2,6,2,0,2,4,0,0,0,1,0,0,1,0,2,0,1
717,0,1,0,1,2,0,0,4,0,0,0,8,0,1,0,4,1,0,8,0,1,1,4,2,1,5,0,0,0,12,0,2,6,2,0,2,4,0,0,0,2,0,0,1,0,2,0,1
718,0,1,0,1,2,0,0,3,0,0,0,8,0,1,0,4,1,0,8,1,2,2,4,2,2,5,0,0,0,12,0,2,6,2,0,2,4,0,0,0,2,0,0,1,0,2,0,1
719,0,2,0,2,2,0,0,3,0,0,0,8,0,1,0,5,1,0,8,1,2,2,4,2,2,5,0,0,0,12,0,2,6,2,0,1,4,0,0,0,2,0,0,1,0,2,0,0
720,0,2,0,2,2,0,0,2,0,0,0,8,0,0,0,6,1,0,8,2,2,2,4,2,2,5,0,0,0,12,0,2,6,1,0,1,4,0,0,0,2,0,0,2,0,2,0,0
721,0,2,0,1,3,0,0,2,0,0,0,6,0,0,0,4,1,0,6,2,2,2,3,2,2,3,0,0,0,10,0,2,4,0,0,0,2,0,0,0,2,0,0,2,0,2,0,0
722,0,2,0,2,4,0,0,2,0,0,0,6,0,0,0,4,1,0,6,2,2,2,3,2,2,3,0,0,0,10,0,2,4,0,0,0,2,0,0,0,2,0,0,2,0,2,0,0
723,0,2,0,2,4,0,0,2,0,0,0,6,0,0,0,4,1,0,6,2,3,2,3,1,1,3,0,1,0,10,0,3,4,0,0,0,2,0,0,0,4,0,0,2,0,1,0,0
724,0,2,0,2,3,0,0,2,0,0,0,6,0,0,0,2,1,0,5,2,3,2,3,1,1,2,0,1,0,10,0,3,5,0,0,0,1,0,0,0,4,0,0,2,0,1,1,0
725,0,2,0,2,3,0,0,2,0,0,1,5,0,0,1,3,1,0,6,3,3,2,3,1,0,2,0,1,1,10,0,3,4,1,0,0,1,0,0,0,4,0,0,2,0,1,1,0
726,0,2,0,2,3,0,0,2,0,0,1,5,0,0,1,3,1,0,6,2,4,0,3,0,0,1,0,1,1,10,0,4,4,1,0,0,1,0,0,0,4,0,0,2,0,2,1,0
727,0,1,0,2,3,0,0,2,0,0,2,4,0,0,2,4,1,0,6,3,4,0,3,0,0,1,0,1,1,9,0,4,6,2,0,0,2,0,0,0,4,0,0,2,0,2,2,0
728,0,1,0,1,3,0,0,2,0,0,2,4,0,0,2,3,1,0,6,3,4,1,3,0,0,1,0,1,1,10,0,4,6,2,0,0,2,0,0,0,4,0,0,2,0,2,2,0
729,0,2,0,1,3,1,0,2,0,0,2,4,0,0,3,3,2,0,6,2,4,1,3,0,0,1,0,1,1,9,0,4,7,2,1,0,2,0,0,0,4,0,0,2,0,2,2,0
730,0,2,0,1,3,1,0,2,0,0,2,4,0,0,3,3,2,0,5,2,4,1,3,0,0,0,0,2,1,9,0,5,7,2,1,0,2,0,0,0,4,0,0,2,0,2,2,0
731,0,2,0,1,3,1,0,2,0,0,2,4,0,0,4,2,4,0,4,2,4,2,4,0,0,0,0,2,1,8,0,5,7,2,2,0,2,0,0,0,4,0,0,2,0,2,2,0
732,0,2,0,0,3,1,0,2,0,0,2,4,0,0,4,1,4,0,4,2,4,2,4,0,0,0,0,2,1,7,0,5,6,3,2,0,1,0,0,0,4,0,0,2,0,2,2,0
733,0,2,0,0,3,2,0,2,0,0,1,5,0,0,4,1,4,0,4,1,3,2,5,0,0,0,0,3,1,7,0,5,6,3,2,0,1,0,0,0,4,0,0,3,0,2,1,0
734,0,2,0,0,3,2,0,2,0,0,2,5,0,0,4,1,4,0,3,2,3,2,5,0,0,0,0,3,0,6,0,5,7,3,2,0,1,0,0,0,4,0,0,4,0,2,1,0
735,0,2,0,0,3,2,0,2,0,0,1,5,0,0,3,0,5,0,3,2,3,2,5,0,0,0,0,3,1,6,0,5,5,3,2,0,0,0,0,0,4,0,0,4,0,1,0,0
736,0,2,0,0,3,2,0,2,0,0,2,5,0,0,4,0,5,0,2,1,2,2,5,0,0,0,1,3,1,6,0,5,6,3,1,0,1,1,0,0,4,0,0,4,0,1,0,0
737,0,1,0,0,3,2,0,2,0,0,2,5,0,0,4,0,5,0,2,2,2,1,5,1,0,0,1,4,2,6,0,5,5,2,1,0,1,1,0,0,4,0,0,4,0,0,1,0
738,0,1,0,0,3,1,0,2,0,0,2,4,0,0,4,0,5,0,2,2,2,1,5,2,0,0,1,3,2,6,0,5,5,2,1,0,2,1,0,0,4,0,0,4,0,0,1,0
739,0,1,0,0,3,1,0,2,0,0,3,4,0,0,4,0,6,0,1,2,2,1,5,2,0,0,1,3,3,5,0,5,4,2,1,0,2,2,0,0,4,0,0,4,0,0,2,0
740,0,0,0,0,3,1,0,2,0,0,3,4,0,0,5,1,6,0,1,2,2,0,4,2,0,0,1,4,3,4,0,6,3,1,1,0,2,2,0,0,4,0,0,4,0,0,2,0
741,0,0,0,0,3,1,0,2,0,0,3,4,0,0,5,1,6,0,1,1,3,0,4,2,0,0,1,4,4,5,0,6,4,1,1,0,2,2,0,0,4,0,0,4,0,0,2,0
742,0,0,0,0,3,0,0,2,0,0,3,4,0,0,5,2,7,0,0,1,3,0,4,3,0,0,1,3,4,4,0,6,3,1,1,0,3,2,0,0,4,0,0,4,0,0,2,0
